[40.0, 256.0, 3.0, 0.0, 16.0, 64.0, 2.0]
[80.8, 2632.96, 1.1, 0.023888888888888883, 23.2, 8.959999999999999, 5.0]
[24.0, 0.0, 1.5, 0.0, 20.0, 16.0, 2.0]
[52.666666666666664, 983.5555555555557, 1.0333333333333332, 0.07111111111111112, 11.333333333333334, 2.2222222222222214, 6.0]
[48.0, 704.0, 1.1666666666666667, 0.05555555555555556, 18.0, 12.0, 4.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 2.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.0, 0.0, 28.0, 0.0, 1.0]
[28.0, 0.0, 1.257936507936508, 0.13703073822121442, 24.0, 24.0, 4.0]
[81.33333333333333, 1955.5555555555554, 1.08, 0.02559999999999999, 21.333333333333332, 8.888888888888886, 6.0]
[20.0, 0.0, 1.125, 0.015625, 18.666666666666668, 3.555555555555556, 3.0]
[54.0, 1100.0, 1.0666666666666667, 0.008888888888888885, 21.0, 3.0, 4.0]
[24.0, 0.0, 1.0, 0.0, 24.0, 0.0, 1.0]
[24.0, 0.0, 1.0, 0.0, 24.0, 0.0, 1.0]
[79.0, 1883.0, 1.0833333333333333, 0.01388888888888889, 19.0, 3.0, 4.0]
[168.0, 9146.666666666666, 1.0, 0.0, 28.0, 0.0, 6.0]
[18.666666666666668, 56.888888888888886, 1.0, 0.0, 8.0, 0.0, 3.0]
[20.0, 0.0, 1.0, 0.0, 20.0, 0.0, 1.0]
[20.0, 0.0, 1.0, 0.0, 20.0, 0.0, 1.0]
[20.0, 0.0, 1.0, 0.0, 20.0, 0.0, 1.0]
[24.0, 0.0, 1.1, 0.039999999999999994, 18.666666666666668, 14.222222222222221, 6.0]
[12.0, 0.0, 1.5, 0.0, 10.0, 4.0, 2.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[16.0, 0.0, 1.0, 0.0, 16.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[12.0, 0.0, 1.0, 0.0, 12.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
[8.0, 0.0, 1.0, 0.0, 8.0, 0.0, 1.0]
